feature,freq_code,pol,tb_ref_k,delta_tb_plus_k,delta_tb_minus_k,dTB_dEps_k_per_unit,dTB_dLnEps_k
BT_06_H,6,H,161.73141054093352,-2.783215230417568,2.9598278056443235,-5.743043036061891,-57.430430360618914
BT_06_V,6,V,271.84160781374845,-1.869669975313684,1.904407530905473,-3.774077506219157,-37.74077506219157
BT_10_H,10,H,162.7341512496995,-2.7548150750051263,2.929625481096906,-5.684440556102032,-56.84440556102032
BT_10_V,10,V,271.7207750809551,-1.850591710259493,1.8849748009982927,-3.7355665112577863,-37.35566511257787
BT_23_H,23,H,166.74511408476343,-2.6412144533554454,2.80881618290735,-5.450030636262795,-54.50030636262795
BT_23_V,23,V,271.2374441497817,-1.7742786500426178,1.807243881369459,-3.5815225314120767,-35.81522531412077
BT_36_H,36,H,171.7588176285933,-2.499213676293323,2.657804560170433,-5.157018236463756,-51.57018236463756
BT_36_V,36,V,270.63328048581496,-1.6788873247714946,1.7100802318334445,-3.388967556604939,-33.88967556604939
BT_89_H,89,H,184.7944468425512,-2.13001165593181,2.265174341054319,-4.395185996986129,-43.95185996986129
BT_89_V,89,V,269.06245495950134,-1.430869879066563,1.457454743039932,-2.888324622106495,-28.88324622106495
