mcc,fpr,fpr_ci_low,fpr_ci_high,tp,fp,tn,fn,n,block_key,n_events_test,n_samples_test,threshold
-0.1791287166802036,0.9098096933187295,0.9064709118105279,0.913040721534469,15245,26581,2635,4237,48698,+30_+140,4,48698,0.5399143433925473
-0.039292838208401196,0.23457613552991396,0.22786204387356015,0.2414262044649756,2331,3517,11476,9224,26548,-10_-080,3,26548,0.49079344262786984
-0.03829369583496191,0.9961145817461526,0.9952859994387194,0.9967979922647393,12876,26150,102,132,39260,-40_-180,3,39260,0.45305489176862357
-0.024664483105845358,0.6432973117799411,0.6369992709712695,0.6495461986803371,7665,14406,7988,4728,34787,-70_-030,2,34787,0.513945177645602
-0.01234564616026552,0.99949462132698,0.9992972572759209,0.9996365761919028,38647,69220,35,47,107949,-20_+160,10,107949,0.42518903145016407
-0.01220602983757463,0.0026006711409395974,0.0018328280717318378,0.0036890047241904637,18,31,11889,12003,23941,+50_+160,2,23941,0.5336579923640737
-0.008686588397512551,0.8842789302674331,0.8801707155836619,0.8882641794006974,10548,21228,2778,1461,36015,-60_-030,2,36015,0.5028778923926017
-0.006975099005590822,0.001059124042115756,0.0006613974467794094,0.0016956148549461636,5,17,16034,8136,24192,+10_-080,2,24192,0.5219397822137612
-0.004046389353288324,0.957341419315956,0.9555891644731441,0.9590275022764783,29899,50831,2265,1388,84383,-20_-080,8,84383,0.4827278090500815
-0.0017327237147430582,0.995250573206682,0.9946732190140051,0.995765616066254,33828,60770,290,170,95058,-10_+150,9,95058,0.46283923482526296
0.0,0.0,0.0,0.0003237136717486645,0,0,11863,7999,19862,+10_-090,2,19862,0.5647112907116203
0.0,0.0,0.0,0.0,8968,0,0,633,9601,+30_+070,2,9601,0.46100097847605137
0.0,0.0,0.0,0.0,147,0,0,7964,8111,-30_+160,2,8111,0.5267409781736548
0.0,1.0,0.9997533390312946,0.9999999999999998,9566,15570,0,0,25136,-40_+170,2,25136,0.3667546668385995
7.753864150761382e-05,0.00026673779674579886,0.00010373385485911849,0.0006857050770924406,2,4,14992,7421,22419,-10_+130,2,22419,0.528574131887778
0.0010108087388662362,0.7483012161549988,0.7432469955907942,0.7532889690584307,11541,21474,7223,3863,44101,-10_+140,4,44101,0.436967153337036
0.0031016637703179337,0.6437388724035609,0.6364760456114239,0.6509361750289232,5642,10847,6003,3080,25572,+20_+080,2,25572,0.5487695246212649
0.004442569000840476,0.9933306386418755,0.9920970358861904,0.994372775999409,9911,19660,132,59,29762,+30_+030,2,29762,0.46960417908569
0.0068816117857489235,0.8150961124378499,0.8102879482481296,0.8198095151094043,10735,20820,4723,2345,38623,-30_-180,3,38623,0.49112987479839765
0.008309342763790518,0.6560741595729332,0.650461373502518,0.6616437001236519,10947,18189,9535,5534,44205,+50_-160,3,44205,0.510589590250765
0.013098137215902543,0.949349132176235,0.9452770989263488,0.9531331809389555,9040,11377,607,426,21450,-40_-080,2,21450,0.4203806628323349
0.013984901596974242,0.01800808526277104,0.015905785151550538,0.020382495545599212,177,245,13360,7865,21647,+10_-110,2,21647,0.5585196444880465
0.017331212098056714,0.957515136638848,0.9556910243709181,0.9592673544759361,23892,46811,2077,874,73654,-30_+170,6,73654,0.4592604730293195
0.02349068249554419,0.2961542831174733,0.29140775385341283,0.3009452897445309,6328,10427,24781,13530,55066,+10_-100,5,55066,0.5096740846731844
0.026028287758087482,0.021441018258959013,0.019762043148859855,0.023259253702432935,675,566,25832,22108,49181,+00_+120,6,49181,0.5000850768047654
0.03326133005685096,0.8987263763352507,0.8937280548106625,0.9035149898123174,8095,13125,1479,716,23415,+20_+060,2,23415,0.4773437502966013
0.06780641341278337,0.013448735019973368,0.01108117325566358,0.016313796407830115,254,101,7409,7197,14961,-10_+120,2,14961,0.49273515648413313
